,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
58334,Gregor Golland,Gregor Golland,https://kleineanfragen.de/nordrhein-westfalen/16/15093-schwierige-anerkennung-von-dienstunfaellen-bei-der-polizei,Schwierige Anerkennung von Dienstunfällen bei der Polizei?,minor,2017-05-31T00:00:00Z,CDU,Ministerium für Inneres und Kommunales,Ministerium für Inneres und Kommunales
58335,Frank Herrmann,Frank Herrmann,https://kleineanfragen.de/nordrhein-westfalen/16/15092-wer-ist-zustaendig-fuer-die-videoueberwachung-auf-den-strassen-in-nordrhein-westfalen,Wer ist zuständig für die Videoüberwachung auf den Straßen in Nordrhein-Westfalen?,minor,2017-05-31T00:00:00Z,Piraten,"Ministerium für Bauen, Wohnen, Stadtentwicklung und Verkehr","Ministerium für Bauen, Wohnen, Stadtentwicklung und Verkehr"
58336,Frank Herrmann,Frank Herrmann,https://kleineanfragen.de/nordrhein-westfalen/16/15091-bodycams-im-einsatz-in-nrw-was-macht-die-polizei-was-nuetzt-den-buergerinnen-und-buergern,"Bodycams im Einsatz in NRW - Was macht die Polizei, was nützt den Bürgerinnen
und Bürgern?",minor,2017-05-31T00:00:00Z,Piraten,Ministerium für Inneres und Kommunales,Ministerium für Inneres und Kommunales
58337,Susanne Schneider,Susanne Schneider,https://kleineanfragen.de/nordrhein-westfalen/16/15090-kurzfristige-absage-von-schulungen-fuer-honorarkraefte-zur-pflegebegutachtung-warum-wurden-die-betroffenen-ohne,Kurzfristige Absage von Schulungen für Honorarkräfte zur Pflegebegutachtung – warum wurden die Betroffenen ohne Angabe von Gründen im Regen stehen gelassen?,minor,2017-05-31T00:00:00Z,FDP,"Ministerium für Gesundheit, Emanzipation, Pflege und Alter","Ministerium für Gesundheit, Emanzipation, Pflege und Alter"
58338,Frank Herrmann,Frank Herrmann,https://kleineanfragen.de/nordrhein-westfalen/16/15089-wofuer-laesst-die-landesregierung-drohnen-fliegen,Wofür lässt die Landesregierung Drohnen fliegen?,minor,2017-05-31T00:00:00Z,Piraten,Ministerium für Inneres und Kommunales,Ministerium für Inneres und Kommunales
58339,Hendrik Wüst,Hendrik Wüst,https://kleineanfragen.de/nordrhein-westfalen/16/15087-buerokratieabbau-warum-wenden-die-eichbehoerden-in-nordrhein-westfalen-37-abs-3-mess-und-eichgesetz-nicht-an,Bürokratieabbau: Warum wenden die Eichbehörden in Nordrhein-Westfalen § 37 Abs. 3 Mess- und Eichgesetz nicht an?,minor,2017-05-31T00:00:00Z,CDU,"Ministerium für Wirtschaft, Energie, Industrie, Mittelstand und Handwerk","Ministerium für Wirtschaft, Energie, Industrie, Mittelstand und Handwerk"
58340,Ingola Schmitz;Ingola Stefanie Schmitz,Ingola Stefanie Schmitz,https://kleineanfragen.de/nordrhein-westfalen/16/15086-sind-die-kriterien-fuer-die-reaktivierung-ehemaliger-lehrkraefte-so-schlecht-ausgestaltet-dass-diese-unmittelbar,"Sind die Kriterien für die ""Reaktivierung"" ehemaliger Lehrkräfte so schlecht ausgestaltet, dass diese unmittelbar wieder kündigen?",minor,2017-05-31T00:00:00Z,FDP,Ministerium für Schule und Weiterbildung,Ministerium für Schule und Weiterbildung
58341,Ralf Witzel;Dirk Wedel;Marc Lürbke,Marc Lürbke;Ralf Witzel;Dirk Wedel,https://kleineanfragen.de/nordrhein-westfalen/16/15085-befoerderungs-und-stellenbesetzungsblockade-in-der-kreispolizeibehoerde-mettmann-wie-lange-nimmt-die,Beförderungs- und Stellenbesetzungsblockade in der Kreispolizeibehörde Mettmann –Wie lange nimmt die Landesregierung noch die vorherrschenden Benachteiligungen aufgrund der verfassungswidrigen Frauenquote billigend in Kauf?,minor,2017-05-29T00:00:00Z,FDP,Ministerium für Inneres und Kommunales,Ministerium für Inneres und Kommunales
58342,Ralf Witzel;Marc Lürbke;Dr. Joachim Stamp,Marc Lürbke;Ralf Witzel;Dr. Joachim Stamp,https://kleineanfragen.de/nordrhein-westfalen/16/15084-befoerderungs-und-stellenbesetzungsblockade-im-polizeipraesidium-bonn-wie-lange-nimmt-die-landesregierung-noch-die,Beförderungs- und Stellenbesetzungsblockade im Polizeipräsidium Bonn – Wie lange nimmt die Landesregierung noch die vorherrschenden Benachteiligungen aufgrund der verfassungswidrigen Frauenquote billigend in Kauf?,minor,2017-05-29T00:00:00Z,FDP,Ministerium für Inneres und Kommunales,Ministerium für Inneres und Kommunales
58343,Ralf Witzel;Marc Lürbke,Marc Lürbke;Ralf Witzel,https://kleineanfragen.de/nordrhein-westfalen/16/15082-befoerderungs-und-stellenbesetzungsblockade-im-polizeipraesidium-duesseldorf-wie-lange-nimmt-die-landesregierung,Beförderungs- und Stellenbesetzungsblockade im Polizeipräsidium Düsseldorf –Wie lange nimmt die Landesregierung noch die vorherrschenden Benachteiligungen aufgrund der verfassungswidrigen Frauenquote billigend in Kauf?,minor,2017-05-29T00:00:00Z,FDP,Ministerium für Inneres und Kommunales,Ministerium für Inneres und Kommunales
