,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
56543,Stefan Henze,Stefan Henze,https://kleineanfragen.de/niedersachsen/18/6983-nachfragen-zur-drucksache-18-6368-umgang-mit-deponiepflichtigen-stoffen-beim-ausbau-der-a-7-zwischen-bockenem-und,Nachfragen zur Drucksache 18/6368: Umgang mit deponiepflichtigen Stoffen beim Ausbau der A 7 zwischen Bockenem und Dreieck Salzgitter II,minor,2020-07-13T00:00:00Z,AfD,"Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung","Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung"
56544,Stephan Bothe,Stephan Bothe,https://kleineanfragen.de/niedersachsen/18/7008-wie-ist-die-situation-der-krankenhaeuser-in-niedersachsen-in-zeiten-der-durch-das-coronavirus-verursachten-krise,Wie ist die Situation der Krankenhäuser in Niedersachsen in Zeiten der durch das Coronavirus verursachten Krise?,minor,2020-07-10T00:00:00Z,AfD,"Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung","Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung"
56545,Susanne Menge;Christian Meyer,Christian Meyer;Susanne Menge,https://kleineanfragen.de/niedersachsen/18/7007-zerstoerter-adlerhorst-im-ammerland,Zerstörter Adlerhorst im Ammerland,minor,2020-07-10T00:00:00Z,Bündnis 90/Die Grünen,"Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz"
56546,Eva Viehoff,Eva Viehoff,https://kleineanfragen.de/niedersachsen/18/7006-wie-steht-die-landesregierung-zu-neuen-ideen-fuer-den-kurtourismus-in-niedersachsen,Wie steht die Landesregierung zu neuen Ideen für den Kurtourismus in Niedersachsen?,minor,2020-07-10T00:00:00Z,Bündnis 90/Die Grünen,"Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung","Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung"
56547,Julia Willie Hamburg;Imke Byl,Imke Byl;Julia Willie Hamburg,https://kleineanfragen.de/niedersachsen/18/7004-wie-ist-der-stand-der-planungen-des-autobahnkreuzes-oelper-und-welche-alternativen-zur-bisherigen-planung-gibt-es,"Wie ist der Stand der Planungen des Autobahnkreuzes Ölper, und welche Alternativen zur bisherigen Planung gibt es?",minor,2020-07-10T00:00:00Z,Bündnis 90/Die Grünen,"Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung","Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung"
56548,Jörg Bode;Thomas Brüninghoff;Christian Grascha,Thomas Brüninghoff;Jörg Bode;Christian Grascha,https://kleineanfragen.de/niedersachsen/18/7002-erreichbarkeiten-niedersaechsischer-finanzaemter,Erreichbarkeiten niedersächsischer Finanzämter,minor,2020-07-09T00:00:00Z,FDP,Niedersächsisches Finanzministerium,Niedersächsisches Finanzministerium
56549,Christian Grascha;Dr. Marco Genthe,Dr. Marco Genthe;Christian Grascha,https://kleineanfragen.de/niedersachsen/18/6998-financial-blocking-trotz-baldiger-liberalisierung-des-onlinegluecksspiels,Financial Blocking trotz baldiger Liberalisierung des Onlineglücksspiels,minor,2020-07-09T00:00:00Z,FDP,Niedersächsisches Ministerium für Inneres und Sport,Niedersächsisches Ministerium für Inneres und Sport
56550,Christian Meyer;Imke Byl,Imke Byl;Christian Meyer,https://kleineanfragen.de/niedersachsen/18/6997-geplante-reaktivierung-des-steinbruchs-voska-trotz-seitens-des-fleckens-salzhemmendorf-befuerchteten-massiven-lkw,Geplante Reaktivierung des Steinbruchs Voska: Trotz seitens des Fleckens Salzhemmendorf befürchteten massiven LKW-Verkehrs keine Öffentlichkeitsbeteiligung?,minor,2020-07-08T00:00:00Z,Bündnis 90/Die Grünen,"Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz"
56551,Susanne Victoria Schütz;Christian Grascha,Susanne Victoria Schütz;Christian Grascha,https://kleineanfragen.de/niedersachsen/18/6996-sanierungsstand-schloss-herzberg,Sanierungsstand Schloss Herzberg,minor,2020-07-08T00:00:00Z,FDP,Niedersächsisches Finanzministerium,Niedersächsisches Finanzministerium
56552,Stefan Wirtz,Stefan Wirtz,https://kleineanfragen.de/niedersachsen/18/6995-ist-in-den-niedersaechsischen-kuestengewaessern-genuegend-platz-fuer-den-geplanten-ausbau-der-offshorewindkraft,Ist in den niedersächsischen Küstengewässern genügend Platz für den geplanten Ausbau der Offshorewindkraft vorhanden?,minor,2020-07-08T00:00:00Z,AfD,"Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz"
